Number of teeth,High frequency modulation (Hz),Mean concentration (VMR),Standard deviation (VMR)
23,1000000000.0,0.010348326880957498,0.0002962360066174047
24,200000000.0,0.008139688033422382,0.0004694792260850604
24,300000000.0,0.008954079606837214,0.0003993204091659121
24,400000000.0,0.00959116277815526,0.00034921133958799026
24,500000000.0,0.009851033926288411,0.000373167300063033
24,600000000.0,0.009977151448375304,0.0002776123782247801
24,700000000.0,0.010151208972103486,0.00040374180439256855
24,800000000.0,0.010224219066266558,0.00035536091731534737
24,900000000.0,0.010151750120716205,0.0004591843036096932
25,200000000.0,0.008353841396734982,0.0004995098641053606
25,300000000.0,0.009174896669524441,0.00044978217964383477
25,400000000.0,0.009572356087104881,0.0003823119197903731
25,500000000.0,0.009765649154312595,0.0002920064338083261
25,600000000.0,0.009983552968104787,0.000487534709679655
25,700000000.0,0.010173752851576581,0.0003745288397392266
25,800000000.0,0.010208317623946844,0.0005998813867635504
25,900000000.0,0.010349234784821843,0.0004026877422142457
26,200000000.0,0.008352449516394805,0.0003181884729361274
26,300000000.0,0.00921126151499838,0.00030192593317026923
26,400000000.0,0.009605837547193723,0.0003459622574746925
26,500000000.0,0.01007141162255326,0.0002899911510443755
26,600000000.0,0.010276482715394617,0.0002448089322171845
26,700000000.0,0.010295340689286645,0.00038026496975733477
26,800000000.0,0.010196418842731541,0.0003412081467565911
26,900000000.0,0.010313823615911842,0.0002805805227192427
27,200000000.0,0.008385800498890561,0.00034629332598040295
27,300000000.0,0.009326052853699533,0.00036819814691292413
27,400000000.0,0.009832392421922765,0.0004216537404983551
27,500000000.0,0.009933352923456436,0.00034835392762754333
27,600000000.0,0.01018274167059537,0.00044549779929365914
27,700000000.0,0.010225890143937506,0.0002976826819600847
27,800000000.0,0.010288685979221352,0.00036479444754616
28,200000000.0,0.008317224303961163,0.0003120352964429986
28,300000000.0,0.009237249701089694,0.00020903469788324705
28,400000000.0,0.009977592597352626,0.0003039395242344099
28,500000000.0,0.010012944482261022,0.00037641337485024105
28,600000000.0,0.010170686235389737,0.00023594817452066746
28,700000000.0,0.010220620426904135,0.0005168601230113281
28,800000000.0,0.010480175874108025,0.0004172660581743339
29,200000000.0,0.008889773528715356,0.0004446857308124729
29,300000000.0,0.009312607107668226,0.00023225487002933218
29,400000000.0,0.009743986314143032,0.0003869555961893807
29,500000000.0,0.01014449785044461,0.000324448096092922
29,600000000.0,0.010323461330798764,0.00018250012089101678
29,700000000.0,0.010200681746245005,0.0003304157468930608
29,800000000.0,0.010441173809021907,0.00036048915897690165
30,200000000.0,0.008891756126162807,0.00039373131621271544
30,300000000.0,0.009375647571427642,0.00041125179064144555
30,400000000.0,0.010004789477322197,0.00016879711351026381
30,500000000.0,0.010178294672477176,0.00023287814780962235
30,600000000.0,0.010313933306515255,0.00044590225678913485
30,700000000.0,0.010412153855872647,0.00047485858314373885
